ISO_Code,Countries,region,HUMAN FREEDOM (Score),HUMAN FREEDOM (Rank),HUMAN FREEDOM (Quartile),ECONOMIC FREEDOM (Score),Income per Capita,Democracy,PERSONAL FREEDOM (Score)
ALB,Albania,Eastern Europe,7.66,47,2,7.54,11025,5.48,7.78
DZA,Algeria,Middle East & North Africa,5.05,153,4,4.84,13724,3.84,5.25
AGO,Angola,Sub-Saharan Africa,5.56,142,4,5.4,6231,3.38,5.72
ARG,Argentina,Latin America & the Caribbean,6.46,108,3,4.88,19101,6.79,8.05
ARM,Armenia,Caucasus & Central Asia,7.36,54,2,7.6,8180,3.53,7.11
AUS,Australia,Oceania,8.6,5,1,7.99,43832,8.76,9.22
AUT,Austria,Western Europe,8.52,12,1,7.66,44075,8.32,9.38
AZE,Azerbaijan,Caucasus & Central Asia,6.1,128,4,6.38,16699,2.43,5.83
BHS,Bahamas,Latin America & the Caribbean,7.4,53,2,7.3,21670,,7.5
BHR,Bahrain,Middle East & North Africa,6.69,88,3,7.38,44508,2.91,6
BGD,Bangladesh,South Asia,5.92,133,4,6.32,3133,5.47,5.52
BRD,Barbados,Latin America & the Caribbean,6.83,78,2,6.47,15390,,7.2
BEL,Belgium,Western Europe,8.31,22,1,7.44,41723,7.56,9.19
BLZ,Belize,Latin America & the Caribbean,6.43,112,3,6.5,8061,,6.37
BEN,Benin,Sub-Saharan Africa,6.61,97,3,5.77,1987,5.68,7.45
BTN,Bhutan,South Asia,6.87,75,2,7.11,7736,5.21,6.62
BOL,Bolivia,Latin America & the Caribbean,6.58,100,3,6.03,6532,5.28,7.13
BIH,Bosnia and Herzegovina,Eastern Europe,7.27,57,2,6.61,10902,4.43,7.93
BWA,Botswana,Sub-Saharan Africa,7.12,63,2,7.37,15356,7.48,6.87
BRA,Brazil,Latin America & the Caribbean,6.32,120,4,5.75,14666,6.42,6.89
BRN,Brunei Darussalam,South Asia,6.42,115,3,6.76,74600,,6.08
BGR,Bulgaria,Eastern Europe,7.83,41,2,7.39,17000,6.87,8.26
BFA,Burkina Faso,Sub-Saharan Africa,6.64,94,3,5.87,1551,4.7,7.41
BDI,Burundi,Sub-Saharan Africa,5.27,150,4,6.08,749,2.46,4.47
KHM,Cambodia,South Asia,7.23,58,2,7.21,3291,4.3,7.26
CMR,Cameroon,Sub-Saharan Africa,5.44,145,4,5.92,2991,3.62,4.95
CAN,Canada,North America,8.54,11,1,7.94,42983,8.85,9.13
CPV,Cape Verde,Sub-Saharan Africa,7.51,49,2,6.66,5919,7.49,8.35
CAF,Central African Republic,Sub-Saharan Africa,5.16,151,4,4.62,626,1.38,5.69
TCD,Chad,Sub-Saharan Africa,5.38,148,4,5.26,2048,1.22,5.5
CHL,Chile,Latin America & the Caribbean,8,37,1,7.77,22537,7.37,8.23
CHN,China,East Asia,6.01,130,4,6.4,13570,3.56,5.62
COL,Colombia,Latin America & the Caribbean,6.65,93,3,6.4,12985,6.15,6.9
COD,"Congo, Democratic Republic of",Sub-Saharan Africa,5.14,152,4,5.45,750,2.2,4.83
COG,"Congo, Republic of",Sub-Saharan Africa,5.73,137,4,4.81,5543,2.9,6.65
CRI,Costa Rica,Latin America & the Caribbean,7.89,38,1,7.52,14914,7.52,8.26
CIV,Cote d'Ivoire,Eastern Europe,6.38,117,3,5.88,3251,3.18,6.88
HRV,Croatia,Eastern Europe,7.75,43,2,7.02,20636,6.61,8.48
CYP,Cyprus,Eastern Europe,8.21,25,1,7.79,30383,7.13,8.64
CZE,Czech Republic,Western Europe,8.21,25,1,7.46,30381,7.57,8.96
DNK,Denmark,Latin America & the Caribbean,8.56,8,1,7.77,45484,9.04,9.36
DOM,Dominican Republic,Latin America & the Caribbean,7,70,2,7.21,13372,6.43,6.78
ECU,Ecuador,Middle East & North Africa,6.68,89,3,5.88,10777,5.57,7.48
EGY,Egypt,Latin America & the Caribbean,4.79,155,4,5.73,10096,3.24,3.86
SLV,El Salvador,Eastern Europe,7.09,67,2,7.13,7845,6.17,7.05
EST,Estonia,Sub-Saharan Africa,8.48,13,1,7.95,27329,7.61,9.01
ETH,Ethiopia,Sub-Saharan Africa,5.39,146,4,5.53,1533,3.83,5.25
FJI,Fiji,Oceania,7.18,62,2,6.68,8756,5.65,7.68
FIN,Finland,Western Europe,8.58,6,1,7.75,38994,8.87,9.4
FRA,France,Western Europe,8.04,33,1,7.33,37766,7.69,8.74
GAB,Gabon,Sub-Saharan Africa,5.52,143,4,5.76,16837,3.66,5.28
GMB,"Gambia, The",Sub-Saharan Africa,6.35,119,3,7.24,1588,3.12,5.46
GEO,Georgia,Caucasus & Central Asia,7.87,40,1,8.01,9025,5.88,7.74
DEU,Germany,Western Europe,8.45,16,1,7.69,43784,8.52,9.22
GHA,Ghana,Sub-Saharan Africa,7.1,65,2,6.53,3930,6.74,7.67
GRC,Greece,Eastern Europe,7.21,60,2,6.36,24095,6.97,8.06
GTM,Guatemala,Latin America & the Caribbean,7.11,64,2,7.69,7293,5.57,6.52
GIN,Guinea,Sub-Saharan Africa,5.6,140,4,5.75,1184,3.19,5.46
GNB,GuineaBissau,Sub-Saharan Africa,6.28,121,4,5.65,1424,1.9,6.91
GUY,Guyana,Latin America & the Caribbean,6.53,104,3,6.45,7063,5.81,6.6
HTI,Haiti,Latin America & the Caribbean,6.83,78,3,6.53,1651,3.23,7.14
HND,Honduras,Latin America & the Caribbean,6.79,81,3,7.3,4311,5.68,6.28
HKG,Hong Kong,East Asia,8.88,2,1,8.97,53490,5.78,8.79
HUN,Hungary,Eastern Europe,7.74,44,2,7.3,24831,6.64,8.19
ISL,Iceland,Western Europe,8.12,31,1,7.23,42674,9.55,9.01
IND,India,South Asia,6.55,102,3,6.63,5754,7.39,6.46
