Country,PR,CL,Free
ÊAfghanistan,100,6,Not
ÊAlbania,85,3,Partly
ÊAlgeria,6,5,Not
ÊAndorra,1,1,Free
ÊAngola,6,6,Not
ÊAntigua and Barbuda,2,2,Free
ÊArgentina,2,2,Free
ÊArmenia,5,4,Partly
ÊAustralia,1,1,Free
ÊAustria,1,1,Free
ÊAzerbaijan,7,6,Not
ÊBahamas,1,1,Free
ÊBahrain,7,6,Not
ÊBangladesh,4,4,Partly
ÊBarbados,1,1,Free
ÊBelarus,7,6,Not
ÊBelgium,1,1,Free
ÊBelize,1,2,Free
ÊBenin,2,2,Free
ÊBhutan,3,4,Partly
ÊBolivia,3,3,Partly
ÊBosnia and Herzegovina,4,4,Partly
ÊBotswana,3,2,Free
ÊBrazil,2,2,Free
ÊBrunei,6,5,Not
ÊBulgaria,2,2,Free
ÊBurkina Faso,4,3,Partly
ÊBurundi,7,6,Not
ÊCambodia,6,5,Not
ÊCameroon,6,6,Not
ÊCanada,1,1,Free
ÊCape Verde,1,1,Free
ÊCentral African Republic,7,7,Not
ÊChad,7,6,Not
ÊChile,1,1,Free
ÊChina,7,6,Not
ÊColombia,3,3,Partly
ÊComoros,3,4,Partly
"ÊCongo,ÊDemocratic RepublicÊof",7,6,Not
"ÊCongo,ÊRepublicÊof",7,5,Not
ÊCosta Rica,1,1,Free
ÊCroatia,1,2,Free
ÊCuba,7,6,Not
ÊCyprus,1,1,Free
ÊCzech Republic,1,1,Free
ÊDenmark,1,1,Free
ÊDjibouti,6,5,Not
ÊDominica,1,1,Free
ÊDominican Republic,3,3,Partly
ÊEast Timor,3,3,Partly
ÊEcuador,3,4,Partly
ÊEgypt,6,5,Not
ÊEl Salvador,2,3,Free
ÊEquatorial Guinea,7,7,Not
ÊEritrea,7,7,Not
ÊEstonia,1,1,Free
ÊEthiopia,7,6,Not
ÊEswatini,7,5,Not
ÊFiji*,3,4,Partly
ÊFinland,1,1,Free
ÊFrance,1,2,Free
ÊGabon,6,5,Not
ÊGambia,6,6,Not
ÊGeorgia,3,3,Partly
ÊGermany,1,1,Free
ÊGhana,1,2,Free
ÊGreece,2,2,Free
ÊGrenada,1,2,Free
ÊGuatemala,4,4,Partly
ÊGuinea,5,5,Partly
ÊGuinea-Bissau,5,5,Partly
ÊGuyana,2,3,Free
ÊHaiti,5,5,Partly
ÊHonduras,4,4,Partly
ÊHungary,3,2,Free
ÊIceland,1,1,Free
ÊIndia,2,3,Free
ÊIndonesia,2,4,Partly
ÊIran,6,6,Not
ÊIraq,5,6,Not
ÊIreland,1,1,Free
ÊIsrael,1,2,Free
ÊItaly,1,1,Free
ÊIvory Coast,4,4,Partly
ÊJamaica,2,3,Free
ÊJapan,1,1,Free
ÊJordan,5,5,Partly
ÊKazakhstan,7,5,Not
ÊKenya,4,4,Partly
ÊKiribati,1,1,Free
ÊKosovo,3,4,Partly
ÊKuwait,5,5,Partly
ÊKyrgyzstan,5,5,Partly
ÊLaos,7,6,Not
ÊLatvia,1,2,Free
ÊLebanon,5,4,Partly
ÊLesotho,3,3,Partly
ÊLiberia,3,4,Partly
ÊLibya,7,6,Not
ÊLiechtenstein,2,1,Free
ÊLithuania,1,1,Free
ÊLuxembourg,1,1,Free
ÊMadagascar,3,4,Partly
ÊMalawi,3,3,Partly
ÊMalaysia,4,4,Partly
ÊMaldives,5,5,Partly
ÊMali,5,4,Partly
ÊMalta,1,1,Free
ÊMarshall Islands,1,1,Free
ÊMauritania,6,5,Not
ÊMauritius,1,2,Free
ÊMexico,3,3,Partly
ÊMicronesia,1,1,Free
ÊMoldova,3,3,Partly
ÊMonaco,3,1,Free
ÊMongolia,1,2,Free
ÊMontenegro,3,3,Partly
ÊMorocco,5,4,Partly
ÊMozambique,4,4,Partly
ÊMyanmar,5,5,Partly
ÊNamibia,2,2,Free
ÊNauru,2,2,Free
ÊÊÊNepal,3,4,Partly
ÊNetherlands,1,1,Free
ÊNew Zealand,1,1,Free
ÊNicaragua,5,4,Partly
ÊNiger,4,4,Partly
ÊNigeria,3,5,Partly
ÊNorth Korea,7,7,Not
ÊNorth Macedonia,4,3,Partly
ÊNorway,1,1,Free
ÊOman,6,5,Not
ÊPakistan,4,5,Partly
ÊPalau,1,1,Free
ÊPanama,2,2,Free
ÊPapua New Guinea,3,3,Partly
ÊParaguay,3,3,Partly
ÊPeru,2,3,Free
ÊPhilippines,3,3,Partly
ÊPoland,1,2,Free
ÊPortugal,1,1,Free
ÊQatar,6,5,Not
ÊRomania,2,2,Free
ÊRussia,7,6,Not
ÊRwanda,6,6,Not
ÊSaint Kitts and Nevis,1,1,Free
ÊSaint Lucia,1,1,Free
ÊSaint Vincent and the Grenadines,1,1,Free
ÊSamoa,2,2,Free
ÊSan Marino,1,1,Free
ÊS‹o TomŽ and Pr’ncipe,2,2,Free
ÊSaudi Arabia,7,7,Not
ÊSenegal,2,2,Free
ÊSerbia,3,2,Free
ÊSeychelles,3,3,Partly
ÊSierra Leone,3,3,Partly
ÊSingapore,4,4,Partly
ÊSlovakia,1,1,Free
ÊSlovenia,1,1,Free
ÊSolomon Islands,3,2,Free
ÊSomalia,7,7,Not
ÊSouth Africa,2,2,Free
ÊSouth Korea,2,2,Free
ÊSouth Sudan,7,7,Not
ÊSpain,1,1,Free
ÊSri Lanka,3,4,Partly
ÊSudan,7,7,Not
ÊSuriname,2,3,Free
ÊSweden,1,1,Free
ÊÊSwitzerland,1,1,Free
ÊSyria,7,7,Not
ÊTaiwan,1,1,Free
ÊTajikistan,7,6,Not
ÊTanzania,3,4,Partly
ÊThailand,6,5,Not
ÊTogo,4,4,Partly
ÊTonga,2,2,Free
ÊTrinidad and Tobago,2,2,Free
ÊTunisia,1,3,Free
ÊTurkey,4,5,Partly
ÊTurkmenistan,7,7,Not
ÊTuvalu,1,1,Free
ÊUganda,6,5,Not
ÊUkraine,3,3,Partly
ÊUnited Arab Emirates,6,6,Not
ÊUnited Kingdom,1,1,Free
ÊUnited States,1,1,Free
ÊUruguay,1,1,Free
ÊUzbekistan,7,7,Not
ÊVanuatu,2,2,Free
ÊVenezuela,6,5,Not
ÊVietnam,7,5,Not
ÊYemen,7,6,Not
ÊZambia,4,4,Partly
ÊZimbabwe,5,5,Partly
